Employee_1D,city,gender,HR Analytics,University Grade,education_level,Has HR expereince,experience,Job changes,Training hours,company_size,Get HR Analytics Job? 
117978,city_16,Male,No relevent experience,Grade 1,Graduate,Yes,3,1,,,Yes
118055,city_103,Male,Has relevent experience,Grade 3,Graduate,No,9,2,,1000-4999,Yes
118118,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,50-99,Yes
118205,city_160,,Has relevent experience,Grade 2,Graduate,Yes,17,>4,,,Yes
118255,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,6,2,,50-99,Yes
118313,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,5,1,,1000-4999,No
118411,city_11,,No relevent experience,Grade 1,High School,Yes,1,1,,,No
118435,city_149,,Has relevent experience,Grade 1,Graduate,Yes,3,1,,50-99,Yes
118505,city_103,,No relevent experience,Grade 1,Primary School,Yes,1,never,,,No
118543,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,18,>4,,50-99,No
118641,city_152,,Has relevent experience,Grade 2,Masters,Yes,15,1,,,No
118704,city_103,Male,No relevent experience,Grade 2,Masters,Yes,15,1,,,Yes
118787,city_103,,Has relevent experience,Grade 3,Graduate,Yes,19,1,,100-500,Yes
118852,city_103,,No relevent experience,Grade 3,Graduate,Yes,2,,,10000+,Yes
118887,city_97,Male,Has relevent experience,Grade 2,Graduate,Yes,15,1,,1000-4999,Yes
118922,city_30,,No relevent experience,Grade 2,,No,4,1,,50-99,Yes
118953,city_19,Female,No relevent experience,Grade 3,Graduate,Yes,3,1,,100-500,Yes
119042,city_21,,Has relevent experience,Grade 2,Graduate,Yes,3,1,,100-500,Yes
119117,city_16,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,1,,500-999,Yes
119143,city_114,Male,Has relevent experience,Grade 2,Phd,Yes,>20,4,,,Yes
119184,city_165,Male,No relevent experience,Grade 1,Phd,Yes,2,1,,50-99,No
119215,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,7,2,,500-999,Yes
119261,city_102,Male,No relevent experience,Grade 2,Graduate,Yes,14,2,,100-500,Yes
119269,city_21,Male,No relevent experience,Grade 2,High School,Yes,1,never,,,Yes
119292,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,3,,1-10,Yes
119349,city_21,Male,No relevent experience,Grade 3,Graduate,Yes,3,1,,10000+,No
119396,city_16,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,1,,<10,Yes
119437,city_114,Male,Has relevent experience,Grade 2,Masters,Yes,6,1,,1000-4999,Yes
119459,city_136,Male,Has relevent experience,Grade 3,Masters,Yes,8,1,,50-99,No
119521,city_114,Male,Has relevent experience,Grade 3,High School,Yes,6,1,,1000-4999,Yes
119574,city_103,,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,1-10,Yes
119666,city_123,,No relevent experience,Grade 1,Graduate,Yes,13,1,,,No
119750,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,>4,,1000-4999,Yes
119777,city_103,Male,Has relevent experience,Grade 2,Phd,Yes,7,2,,100-500,Yes
119847,city_21,,No relevent experience,Grade 3,Masters,Yes,2,2,,100-500,Yes
119861,city_71,Other,No relevent experience,Grade 1,Graduate,Yes,2,1,,,Yes
119889,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,12,>4,,1-10,Yes
119956,city_103,,No relevent experience,Grade 3,Graduate,Yes,2,1,,,Yes
119979,city_61,Female,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,10000+,No
120028,city_103,,No relevent experience,Grade 3,Graduate,Yes,1,1,,50-99,No
120110,city_143,Male,Has relevent experience,Grade 2,Masters,Yes,11,2,,1-10,Yes
120202,city_136,Male,Has relevent experience,Grade 2,Masters,Yes,9,1,,1000-4999,Yes
120281,city_114,Male,Has relevent experience,Grade 3,,Yes,4,1,,100-500,No
120302,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,10,>4,,10000+,Yes
120362,city_123,Male,Has relevent experience,Grade 1,Phd,Yes,>20,2,,50-99,Yes
120443,city_136,Male,No relevent experience,Grade 3,Graduate,Yes,2,never,,,Yes
120487,city_114,Female,Has relevent experience,Grade 1,High School,Yes,4,never,,100-500,No
120560,city_100,Male,No relevent experience,Grade 2,Masters,Yes,9,>4,,<10,Yes
120623,city_70,,No relevent experience,Grade 3,Primary School,Yes,1,never,,,No
120662,city_100,Male,No relevent experience,Grade 3,Primary School,Yes,1,never,,,Yes
120703,city_21,,Has relevent experience,Grade 1,Masters,Yes,6,1,,10000+,Yes
120782,city_16,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,,Yes
120783,city_23,Male,Has relevent experience,Grade 2,High School,Yes,>20,1,,,Yes
120794,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,>4,,5000-9999,Yes
120853,city_114,Male,No relevent experience,Grade 2,Graduate,Yes,20,4,,,Yes
120882,city_114,,Has relevent experience,Grade 3,Graduate,Yes,12,1,,1-10,Yes
120906,city_103,Male,Has relevent experience,Grade 2,Graduate,No,15,4,,,Yes
120912,city_103,,Has relevent experience,Grade 3,Masters,Yes,2,1,,10000+,Yes
120970,city_23,Female,Has relevent experience,Grade 2,Graduate,Yes,16,1,,50-99,Yes
121026,city_27,,No relevent experience,Grade 2,Masters,Yes,>20,>4,,1000-4999,Yes
121073,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,5,1,,50-99,Yes
121075,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,1-10,Yes
121106,city_16,Male,No relevent experience,Grade 3,High School,Yes,<1,never,,,Yes
121108,city_73,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,1-10,Yes
121117,city_179,Male,Has relevent experience,Grade 3,Masters,Yes,9,1,,1-10,Yes
121191,city_16,Male,No relevent experience,Grade 3,Graduate,Yes,>20,1,,1-10,Yes
121215,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,14,>4,,50-99,Yes
121284,city_21,Female,Has relevent experience,Grade 3,Graduate,Yes,1,never,,50-99,Yes
121288,city_104,,Has relevent experience,Grade 3,Graduate,Yes,10,1,,100-500,Yes
121334,city_65,Male,Has relevent experience,Grade 1,Masters,Yes,9,4,,500-999,Yes
121407,city_21,Male,No relevent experience,Grade 2,Masters,Yes,3,1,,5000-9999,No
121494,city_16,Male,Has relevent experience,Grade 3,Graduate,Yes,13,1,,,Yes
121573,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,2,,1-10,No
121637,city_136,Male,Has relevent experience,Grade 3,Graduate,Yes,14,>4,,<10,Yes
121711,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,>4,,50-99,Yes
121801,city_16,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,2,,<10,No
121884,city_61,Male,Has relevent experience,Grade 2,Masters,Yes,>20,>4,,1-10,Yes
121956,city_23,Male,Has relevent experience,Grade 3,Masters,Yes,>20,4,,10000+,No
122039,city_75,Male,Has relevent experience,Grade 3,Graduate,No,8,2,,500-999,No
122095,city_114,Male,Has relevent experience,Grade 3,High School,Yes,10,1,,50-99,No
122136,city_61,,Has relevent experience,Grade 1,Graduate,Yes,>20,3,,<10,No
122141,city_114,Male,Has relevent experience,Grade 2,Graduate,Yes,7,2,,50-99,Yes
122181,city_160,Female,Has relevent experience,Grade 2,Graduate,Yes,3,2,,1000-4999,No
122225,city_75,Male,Has relevent experience,Grade 2,Graduate,Yes,5,2,,1000-4999,Yes
122272,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,19,1,,50-99,Yes
122273,city_103,Male,Has relevent experience,Grade 2,High School,Yes,9,1,,1-10,No
122312,city_50,,Has relevent experience,Grade 3,Graduate,Yes,7,1,,10000+,Yes
122360,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,7,2,,1-10,No
122364,city_67,Male,Has relevent experience,Grade 1,Graduate,Yes,8,1,,,No
122369,city_36,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,<10,No
122421,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,10,>4,,5000-9999,No
122510,city_103,Male,Has relevent experience,Grade 3,Masters,Yes,20,1,,1-10,No
122593,city_115,Female,No relevent experience,Grade 3,Graduate,No,2,never,,,Yes
122636,city_160,Male,Has relevent experience,Grade 3,Primary School,Yes,>20,1,,100-500,No
122686,city_21,Male,Has relevent experience,Grade 1,Graduate,Yes,6,never,,,Yes
122753,city_21,,Has relevent experience,Grade 3,Graduate,Yes,1,,,50-99,Yes
122827,city_114,Male,No relevent experience,Grade 1,Phd,Yes,>20,>4,,1000-4999,Yes
122828,city_114,Male,Has relevent experience,Grade 1,Graduate,Yes,13,2,,500-999,Yes
122862,city_103,Female,Has relevent experience,Grade 1,Graduate,Yes,>20,>4,,,No
122891,city_128,Male,No relevent experience,Grade 3,High School,Yes,<1,never,,,No
122985,city_77,Male,Has relevent experience,Grade 1,Phd,Yes,20,1,,50-99,Yes
123062,city_103,Male,No relevent experience,Grade 2,Masters,Yes,14,never,,,Yes
123140,city_116,Male,Has relevent experience,Grade 2,Masters,Yes,18,4,,1000-4999,Yes
123199,city_16,Male,Has relevent experience,Grade 1,Graduate,Yes,10,2,,100-500,No
123223,city_136,Male,No relevent experience,Grade 2,Graduate,Yes,7,1,,,Yes
123307,city_41,Male,Has relevent experience,Grade 2,Graduate,Yes,9,2,,5000-9999,Yes
123341,city_103,Male,No relevent experience,Grade 1,Graduate,Yes,4,1,,,Yes
123350,city_103,Male,Has relevent experience,Grade 3,Graduate,No,7,3,,1000-4999,No
123359,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,11,>4,,1000-4999,No
123433,city_16,Male,Has relevent experience,Grade 1,Masters,Yes,>20,>4,,1000-4999,Yes
123513,city_11,Male,Has relevent experience,Grade 3,Graduate,Yes,17,1,,1000-4999,No
123575,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,2,,10000+,No
123587,city_21,,Has relevent experience,Grade 3,Graduate,Yes,2,never,,10000+,No
123659,city_21,Male,Has relevent experience,Grade 1,Graduate,Yes,11,1,,10000+,Yes
123739,city_90,Male,Has relevent experience,Grade 3,Graduate,Yes,14,1,,,No
123806,city_103,Male,Has relevent experience,Grade 1,Masters,Yes,16,1,,50-99,Yes
123869,city_114,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,50-99,No
123902,city_21,Male,Has relevent experience,Grade 1,Masters,No,3,1,,<10,Yes
123973,city_11,,No relevent experience,Grade 2,Graduate,No,1,1,,,No
124026,city_165,Other,Has relevent experience,Grade 3,Graduate,Yes,3,1,,<10,Yes
124097,city_36,Male,Has relevent experience,Grade 3,Masters,Yes,10,4,,1000-4999,No
124195,city_102,Male,Has relevent experience,Grade 2,Graduate,Yes,13,>4,,1-10,Yes
124251,city_67,,Has relevent experience,Grade 3,Graduate,Yes,9,1,,100-500,Yes
124295,city_50,Male,Has relevent experience,Grade 3,Graduate,Yes,15,>4,,,No
124391,city_160,Male,Has relevent experience,Grade 1,Graduate,No,>20,2,,,No
124447,city_116,Male,No relevent experience,Grade 2,Graduate,Yes,5,never,,100-500,No
124460,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,3,1,,10000+,No
124492,city_102,Male,Has relevent experience,Grade 2,Graduate,Yes,6,2,,50-99,Yes
124551,city_21,Male,Has relevent experience,Grade 2,Masters,Yes,16,1,,10000+,Yes
124596,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,4,,1000-4999,No
124640,city_173,Male,No relevent experience,Grade 3,Graduate,Yes,3,1,,10000+,No
124722,city_21,,Has relevent experience,Grade 3,Masters,Yes,5,2,,10000+,Yes
124796,city_21,Male,No relevent experience,Grade 2,Graduate,Yes,5,never,,,Yes
124806,city_65,Male,No relevent experience,Grade 3,Graduate,Yes,3,2,,<10,No
124867,city_114,Male,Has relevent experience,Grade 2,Graduate,Yes,8,2,,100-500,Yes
124898,city_64,Male,No relevent experience,Grade 3,Graduate,Yes,>20,1,,,No
124975,city_64,Other,No relevent experience,Grade 2,Graduate,Yes,9,never,,,No
125002,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,2,1,,<10,Yes
125093,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,10000+,Yes
125162,city_46,,Has relevent experience,Grade 1,Graduate,Yes,8,1,,50-99,Yes
125183,city_103,Female,Has relevent experience,Grade 2,Masters,No,10,2,,50-99,No
125191,city_128,Male,Has relevent experience,Grade 3,Graduate,Yes,10,1,,10000+,Yes
125256,city_45,,No relevent experience,Grade 2,High School,Yes,8,3,,,Yes
125343,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,500-999,No
125430,city_159,Male,Has relevent experience,Grade 3,Graduate,Yes,10,1,,100-500,Yes
125484,city_16,Female,Has relevent experience,Grade 3,Graduate,Yes,8,>4,,1000-4999,Yes
125571,city_136,Male,No relevent experience,Grade 1,Masters,Yes,10,>4,,100-500,Yes
125656,city_21,,Has relevent experience,Grade 3,Masters,Yes,1,1,,<10,No
125741,city_67,,Has relevent experience,Grade 2,Masters,No,14,2,,,Yes
125796,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,11,1,,50-99,Yes
125849,city_16,Male,Has relevent experience,Grade 3,Masters,Yes,>20,1,,10000+,Yes
125856,city_67,Male,No relevent experience,Grade 3,Masters,No,14,2,,,Yes
125940,city_16,Male,No relevent experience,Grade 2,Masters,Yes,14,1,,50-99,Yes
125968,city_103,Male,No relevent experience,Grade 3,Graduate,No,4,4,,10000+,Yes
126030,city_21,,No relevent experience,Grade 3,Graduate,No,<1,2,,,Yes
126073,city_116,Male,No relevent experience,Grade 3,High School,Yes,6,1,,<10,No
126148,city_21,Male,No relevent experience,Grade 3,Masters,Yes,2,1,,50-99,Yes
126212,city_114,Male,Has relevent experience,Grade 3,Phd,Yes,>20,>4,,,Yes
126245,city_45,Male,Has relevent experience,Grade 3,High School,Yes,9,2,,<10,Yes
126326,city_114,Male,Has relevent experience,Grade 2,Graduate,Yes,13,1,,1000-4999,No
126420,city_44,Female,Has relevent experience,Grade 1,Masters,Yes,9,never,,50-99,Yes
126436,city_114,,Has relevent experience,Grade 3,Masters,Yes,>20,never,,50-99,No
126535,city_80,Female,Has relevent experience,Grade 3,Graduate,Yes,5,1,,100-500,No
126602,city_73,Female,No relevent experience,Grade 2,Graduate,Yes,7,1,,,Yes
126640,city_21,Male,Has relevent experience,Grade 1,Graduate,Yes,3,1,,50-99,Yes
126728,city_103,Male,Has relevent experience,Grade 3,High School,Yes,>20,>4,,100-500,No
126733,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,4,,50-99,Yes
126751,city_114,Male,No relevent experience,Grade 3,Masters,Yes,18,>4,,100-500,No
126794,city_100,,No relevent experience,Grade 1,Phd,No,>20,>4,,500-999,No
126860,city_114,Male,No relevent experience,Grade 2,High School,Yes,6,never,,,No
126936,city_114,Male,Has relevent experience,Grade 1,Masters,Yes,>20,>4,,1000-4999,No
126986,city_114,Male,Has relevent experience,Grade 2,Graduate,No,>20,>4,,,No
127030,city_21,,No relevent experience,Grade 2,Masters,Yes,11,2,,<10,No
127072,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,5,>4,,1-10,No
127158,city_136,Male,Has relevent experience,Grade 3,Masters,Yes,<1,4,,5000-9999,Yes
127245,city_173,Male,Has relevent experience,Grade 1,Masters,Yes,8,1,,10000+,Yes
127285,city_21,Female,Has relevent experience,Grade 3,Graduate,Yes,<1,1,,50-99,Yes
127339,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,8,2,,100-500,No
127384,city_103,Male,No relevent experience,Grade 2,Graduate,Yes,6,1,,10000+,No
127409,city_136,Male,Has relevent experience,Grade 2,Masters,Yes,16,1,,,Yes
127496,city_16,,Has relevent experience,Grade 2,Graduate,Yes,>20,3,,100-500,Yes
127530,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,5,4,,50-99,No
127540,city_67,Male,Has relevent experience,Grade 3,Graduate,No,7,1,,10000+,Yes
127618,city_104,Male,Has relevent experience,Grade 3,Graduate,Yes,16,>4,,100-500,Yes
127711,city_114,Male,No relevent experience,Grade 3,High School,Yes,8,1,,,No
127801,city_89,Male,Has relevent experience,Grade 2,Graduate,Yes,9,1,,,Yes
127901,city_128,Male,No relevent experience,Grade 2,Masters,Yes,<1,1,,,No
127944,city_28,Male,Has relevent experience,Grade 3,Masters,Yes,13,1,,<10,Yes
127956,city_16,Male,Has relevent experience,Grade 1,High School,Yes,12,1,,50-99,Yes
127958,city_103,Male,Has relevent experience,Grade 1,Masters,Yes,1,1,,1-10,Yes
128042,city_16,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,100-500,Yes
128082,city_114,,Has relevent experience,Grade 3,Masters,No,14,1,,50-99,Yes
128168,city_21,,No relevent experience,Grade 2,Masters,Yes,2,1,,5000-9999,Yes
128224,city_114,Male,No relevent experience,Grade 1,High School,Yes,3,never,,,Yes
128314,city_16,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,10000+,Yes
128407,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,9,4,,,Yes
128497,city_90,Male,Has relevent experience,Grade 3,Masters,Yes,13,1,,50-99,No
128560,city_105,Male,No relevent experience,Grade 1,Masters,Yes,<1,2,,100-500,Yes
128571,city_16,Male,No relevent experience,Grade 3,Graduate,Yes,4,2,,5000-9999,Yes
128669,city_80,Male,No relevent experience,Grade 2,Primary School,Yes,3,never,,,Yes
128752,city_64,Female,Has relevent experience,Grade 3,Graduate,Yes,3,2,,1-10,No
128829,city_67,Male,Has relevent experience,Grade 3,Graduate,Yes,7,2,,100-500,Yes
128897,city_114,Male,Has relevent experience,Grade 3,High School,Yes,17,>4,,500-999,No
128992,city_100,Male,No relevent experience,Grade 1,Graduate,Yes,1,1,,,Yes
129034,city_16,Male,Has relevent experience,Grade 2,Masters,Yes,>20,1,,100-500,No
129113,city_16,Male,Has relevent experience,Grade 2,Graduate,No,>20,1,,1-10,Yes
129199,city_72,Male,Has relevent experience,Grade 2,Graduate,Yes,6,1,,5000-9999,Yes
129218,city_73,Male,Has relevent experience,Grade 3,Graduate,Yes,4,2,,50-99,No
129303,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,13,1,,1-10,No
129327,city_71,Male,Has relevent experience,Grade 1,Graduate,Yes,5,1,,100-500,Yes
129386,city_103,Male,No relevent experience,Grade 2,Graduate,Yes,8,2,,,No
129446,city_116,Male,Has relevent experience,Grade 1,Masters,Yes,3,1,,500-999,Yes
129546,city_114,Male,No relevent experience,Grade 2,Masters,Yes,9,1,,50-99,No
129549,city_136,Male,Has relevent experience,Grade 2,Masters,Yes,>20,>4,,100-500,Yes
129583,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,16,>4,,,Yes
129654,city_10,,No relevent experience,Grade 3,Graduate,Yes,14,,,1000-4999,Yes
129713,city_171,Male,Has relevent experience,Grade 3,,No,9,1,,,No
129794,city_134,Male,No relevent experience,Grade 3,Graduate,Yes,6,1,,,Yes
129859,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,17,1,,500-999,No
129910,city_158,Male,No relevent experience,Grade 1,Graduate,Yes,10,never,,,Yes
130004,city_103,,Has relevent experience,Grade 3,Masters,Yes,9,1,,,Yes
130031,city_27,Male,Has relevent experience,Grade 3,Graduate,Yes,10,2,,,No
130117,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,9,1,,5000-9999,Yes
130216,city_16,Male,Has relevent experience,Grade 1,High School,Yes,>20,1,,1-10,Yes
130289,city_50,Male,Has relevent experience,Grade 3,Masters,Yes,>20,4,,,Yes
130384,city_50,Male,Has relevent experience,Grade 3,Graduate,Yes,8,2,,50-99,Yes
130431,city_114,Female,Has relevent experience,Grade 3,Graduate,Yes,10,3,,50-99,No
130513,city_102,Male,No relevent experience,Grade 3,Masters,Yes,16,2,,,No
130517,city_173,Male,Has relevent experience,Grade 2,Graduate,Yes,1,1,,,Yes
130602,city_50,Male,Has relevent experience,Grade 3,Masters,Yes,7,1,,500-999,Yes
130696,city_90,Male,No relevent experience,Grade 1,Primary School,Yes,2,never,,,Yes
130749,city_13,,No relevent experience,Grade 2,Graduate,Yes,<1,never,,,Yes
130840,city_16,Male,Has relevent experience,Grade 3,Graduate,No,>20,1,,,No
130851,city_28,Male,Has relevent experience,Grade 2,High School,No,6,1,,10000+,Yes
130877,city_73,Male,Has relevent experience,Grade 3,Graduate,No,17,1,,10000+,No
130943,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,5,3,,1000-4999,Yes
130948,city_65,Male,Has relevent experience,Grade 3,Graduate,Yes,12,>4,,1000-4999,Yes
130989,city_21,,Has relevent experience,Grade 3,Graduate,Yes,2,1,,<10,Yes
131052,city_114,Male,Has relevent experience,Grade 1,High School,Yes,2,1,,100-500,Yes
131079,city_41,,Has relevent experience,Grade 1,Masters,Yes,8,,,,No
131098,city_160,,Has relevent experience,Grade 2,Masters,Yes,11,1,,,No
131160,city_21,Male,Has relevent experience,Grade 2,Masters,Yes,12,never,,10000+,Yes
131212,city_46,Male,Has relevent experience,Grade 1,Graduate,Yes,9,1,,50-99,No
131252,city_162,Male,Has relevent experience,Grade 3,Graduate,Yes,11,>4,,100-500,Yes
131294,city_104,Male,Has relevent experience,Grade 3,Graduate,Yes,14,2,,1-10,No
131385,city_99,Male,Has relevent experience,Grade 3,Graduate,Yes,15,1,,100-500,Yes
131412,city_138,Male,No relevent experience,Grade 3,Masters,No,9,1,,50-99,Yes
131430,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,10,2,,10000+,No
131501,city_136,Male,Has relevent experience,Grade 3,Masters,No,8,never,,1-10,Yes
131578,city_114,Male,Has relevent experience,Grade 2,Graduate,Yes,9,2,,500-999,Yes
131594,city_16,,No relevent experience,Grade 3,Graduate,Yes,7,never,,,Yes
131655,city_103,Male,Has relevent experience,Grade 2,Masters,Yes,>20,3,,50-99,No
131750,city_21,Female,Has relevent experience,Grade 2,Graduate,No,5,1,,1000-4999,Yes
131833,city_116,,Has relevent experience,Grade 3,Masters,Yes,14,1,,,Yes
131903,city_61,Male,Has relevent experience,Grade 2,Graduate,Yes,12,1,,1000-4999,Yes
131939,city_28,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,1,,50-99,Yes
132025,city_149,Male,No relevent experience,Grade 2,Primary School,Yes,4,1,,<10,Yes
132035,city_103,,No relevent experience,Grade 1,Graduate,Yes,<1,>4,,,Yes
132067,city_149,Male,No relevent experience,Grade 2,High School,Yes,2,1,,,No
132074,city_16,Male,Has relevent experience,Grade 3,Masters,Yes,>20,1,,10000+,Yes
132115,city_160,Male,Has relevent experience,Grade 2,Graduate,Yes,13,3,,50-99,No
132209,city_21,Male,Has relevent experience,Grade 1,Graduate,Yes,9,2,,50-99,Yes
132285,city_103,Female,Has relevent experience,Grade 2,Graduate,Yes,13,3,,10000+,No
132372,city_101,,Has relevent experience,Grade 1,Graduate,Yes,6,>4,,1-10,Yes
132433,city_162,Male,Has relevent experience,Grade 1,Graduate,Yes,14,3,,50-99,Yes
132434,city_104,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,2,,50-99,Yes
132452,city_136,Male,No relevent experience,Grade 3,Masters,Yes,4,1,,10000+,Yes
132539,city_160,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,2,,,Yes
132603,city_21,Male,No relevent experience,Grade 2,Graduate,Yes,1,1,,,Yes
132629,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,6,never,,,Yes
132665,city_21,,Has relevent experience,Grade 3,Masters,Yes,4,,,100-500,Yes
132680,city_65,Male,No relevent experience,Grade 1,Graduate,Yes,3,2,,1-10,Yes
132696,city_21,Male,Has relevent experience,Grade 2,Masters,Yes,8,2,,,Yes
132763,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,16,1,,<10,Yes
132803,city_16,Male,Has relevent experience,Grade 2,Graduate,Yes,7,1,,<10,Yes
132810,city_16,,No relevent experience,Grade 3,Phd,Yes,1,1,,10000+,Yes
132820,city_67,Male,No relevent experience,Grade 1,Graduate,Yes,10,1,,,Yes
132919,city_142,,Has relevent experience,Grade 1,Masters,No,14,4,,1-10,No
132948,city_21,,Has relevent experience,Grade 2,Graduate,Yes,7,1,,50-99,Yes
132967,city_103,,Has relevent experience,Grade 3,Masters,Yes,16,>4,,10000+,Yes
133061,city_103,,Has relevent experience,Grade 3,Graduate,Yes,19,>4,,100-500,Yes
133068,city_103,,Has relevent experience,Grade 2,Masters,No,>20,>4,,,Yes
133097,city_21,Male,Has relevent experience,Grade 2,Graduate,Yes,11,1,,10000+,Yes
133175,city_115,Male,No relevent experience,Grade 2,Masters,Yes,20,>4,,50-99,Yes
133235,city_21,,No relevent experience,Grade 1,Graduate,Yes,15,>4,,10000+,No
133302,city_25,Male,Has relevent experience,Grade 2,Masters,Yes,4,2,,500-999,Yes
133401,city_103,Male,No relevent experience,Grade 2,Graduate,Yes,2,2,,100-500,Yes
133453,city_21,,Has relevent experience,Grade 2,Graduate,Yes,3,1,,50-99,Yes
133473,city_16,Male,Has relevent experience,Grade 1,Masters,Yes,>20,2,,50-99,Yes
133556,city_103,Male,Has relevent experience,Grade 2,Graduate,No,>20,>4,,10000+,Yes
133577,city_104,Male,Has relevent experience,Grade 2,Graduate,No,9,1,,1-10,Yes
133664,city_21,Male,No relevent experience,Grade 2,Graduate,No,2,1,,1-10,Yes
133740,city_57,Male,No relevent experience,Grade 2,Masters,Yes,8,4,,,Yes
133771,city_114,Male,Has relevent experience,Grade 1,Graduate,No,10,2,,<10,Yes
133848,city_21,Male,Has relevent experience,Grade 3,Graduate,No,5,1,,<10,Yes
133909,city_14,Male,Has relevent experience,Grade 3,Masters,Yes,>20,>4,,<10,Yes
133940,city_103,Male,Has relevent experience,Grade 2,Masters,Yes,17,1,,100-500,No
134037,city_114,Male,No relevent experience,Grade 3,High School,Yes,7,>4,,<10,No
134048,city_103,Male,No relevent experience,Grade 2,Graduate,Yes,4,never,,,Yes
134064,city_103,Male,Has relevent experience,Grade 1,Graduate,No,6,2,,50-99,Yes
134148,city_103,,No relevent experience,Grade 2,Graduate,Yes,3,2,,1000-4999,Yes
134161,city_21,Male,No relevent experience,Grade 3,Graduate,Yes,10,1,,10000+,Yes
134232,city_16,Male,No relevent experience,Grade 3,Masters,Yes,5,3,,,No
134306,city_16,Male,Has relevent experience,Grade 1,Graduate,Yes,11,4,,,Yes
134405,city_11,,Has relevent experience,Grade 1,Graduate,Yes,7,>4,,50-99,Yes
134450,city_103,Male,Has relevent experience,Grade 1,Masters,Yes,>20,>4,,,Yes
134517,city_50,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,>4,,10000+,No
134601,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,5,1,,,No
134603,city_23,Male,Has relevent experience,Grade 3,High School,Yes,4,1,,100-500,No
134629,city_10,Male,Has relevent experience,Grade 2,Graduate,Yes,8,1,,1-10,Yes
134664,city_98,Male,Has relevent experience,Grade 1,Masters,No,15,2,,50-99,Yes
134674,city_103,Male,Has relevent experience,Grade 3,Graduate,Yes,3,1,,500-999,No
134743,city_149,Female,No relevent experience,Grade 3,Graduate,Yes,4,1,,50-99,No
134750,city_71,Male,Has relevent experience,Grade 3,Graduate,Yes,5,2,,50-99,Yes
134833,city_128,Male,Has relevent experience,Grade 3,Graduate,Yes,9,>4,,50-99,Yes
134854,city_21,Male,No relevent experience,Grade 2,Masters,Yes,3,1,,,Yes
134887,city_114,Male,Has relevent experience,Grade 1,Masters,Yes,18,2,,1000-4999,Yes
134925,city_114,Female,No relevent experience,Grade 1,High School,Yes,16,2,,1000-4999,Yes
